[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Bob membenci hari pertamanya bekerja di restoran ikan cepat saji.,Dia berencana menunggu untuk memakai seragam nautikanya yang mencolok.,Bob bekerja membuat burger ikan setelah memakai seragamnya.,"Dia sangat sibuk, hingga lupa memakai kembali baju kasualnya",Bob sangat suka pakaiannya hingga dia tunjukkan pada teman-temannya.,Bob pergi keluar setelah kerja memakai kostum pelaut itu.,1
Seorang teman datang berkunjung.,Kukatakan padanya bahwa anjingku menggigit.,Dia tidak mendengarkan.,Dia coba mengelus dan bermain dengannya.,Anjingku menggigitnya.,Anjingku kabur.,0
Lester selalu ingin jadi lebih artistik.,Dia putuskan coba menggambar bunga suatu hari.,Dia duduk di depan anggrek cantik dan mulai menggambar.,Gambar Lester sangat bagus.,Dia menggantung gambar itu di dinding ruang keluarganya.,Dia putuskan tidak lagi menggambar apa pun.,0
Pablo suka makan cacing.,Dia membaca buku di sekolah tentang cara melakukan ini.,Dia menggoreng semuanya dengan minyak zaitun.,Dia suka melakukan ini setidaknya sebulan sekali.,Pablo menyukai cacing dan menganggapnya sebagai hidangan lezat.,Pablo tidak suka memakan cacing.,0
Kira selalu menyukai budaya Jepang.,Banyak film favoritnya adalah film Jepang.,Dia putuskan akan bepergian ke sana.,Selama bertahun-tahun dia menabung untuk perjalanannya.,Dia menghabiskan semua uangnya untuk sepatu.,Itu adalah perjalanan terbaik seumur hidupnya.,1
Glen sedang ingin jalan-jalan.,Dia memakai jaketnya dan pergi keluar.,"Saat berjalan di trotoar, dia tersandung dan lututnya terluka.",Glen kembali berdiri dan pulang ke rumah dengan terpincang-pincang.,Glen mencatat waktu maraton terbaiknya.,Glen bersumpah tidak akan pernah berjalan kaki lagi.,1
Jesus menghabiskan harinya memoles furnitur.,Saat malam tiba dia memeriksa hasil kerjanya.,Semuanya terlihat berkilau dan baru.,Jesus mengundang semua temannya ke pesta malam itu.,Mereka mengatakan furniturnya tampak cantik.,Teman-temannya memoles furniturnya.,0
Aku berjalan ke toko belum lama ini.,"Saat melewati pintu keluar, aku merasakan baja dingin dan keras di tanganku.",Aku terkejut karena ditabrak oleh mobil!,Si pengemudi meminta maaf berkali-kali setelah dia melihat aku tertabrak.,Kukatakan pada mereka tidak apa-apa lalu berjalan pergi.,Si pengemudi mobil jadi sangat marah padaku.,0
Pergelangan kaki saudari Gina terluka karena beling.,Darahnya mengalir ke kaki dan sepatunya.,Saat melihat darah dia lari ke rumah.,"Gina berlari di belakangnya, namun tidak mampu mengejar.",Saat tiba di rumah mereka semua makan es krim.,Saudari Gina pergi ke dokter.,1
Seorang bocah kecil duduk di kelas tiga.,Dia sangat cerdas namun kesulitan membaca.,Setiap dia membaca keras-keras teman sekelas menertawainya.,Dia mulai berlatih membaca setiap hari.,Sang bocah kecil menerima bahwa dia tidak akan pernah jadi lebih baik.,"Di akhir tahun, dia mendapat nilai bagus di ujian membacanya.",1
Kelas Rosie mengadakan pesta kecil.,Dia putuskan membuat salad buah untuk semua orang.,Dia menghabiskan banyak uang untuk buah-buahan dan banyak waktu menyiapkannya.,Di hari pesta dia mengambil semangkuk besar salad buah.,Kelas Rosie berbagi salad buah.,Rosie menyimpan mangkuk salad buah di lemari esnya di rumah.,0
Kelly senang memiliki ponsel baru.,Dia membawanya ke mana saja.,Sayangnya itu terjatuh.,Untunglah dia dapat memperbaikinya.,Toko memberinya harga masuk akal untuk memperbaikinya.,Kelly membeli ponsel baru.,0
"Saat kuliah, aku pernah bertemu pria lebih tua.",Aku berusia 22 dan dia 38 tahun.,Kami saling sepaham dan senang menghabiskan waktu bersama.,Kami tinggal bersama sepanjang waktu aku di sana.,Aku punya kenangan indah di masa itu.,Aku punya kenangan buruk di masa itu.,0
Bob ingin tampil di pentas sekolah.,Dia mempelajari perannya dengan saksama.,Dia kerap melatih kalimatnya.,"Di hari audisi, dia melakukannya dengan baik.",Bob sangat bangga.,Bob sangat malu.,0
Jackie ditunjuk sebagai pemantau lorong kelas delapan.,Seluruh kelas merasa iri padanya.,Rekan-rekan kelas kerap membahayakan pekerjaannya.,Mereka mencuri tiket lorong Jackie.,Kepala sekolah menskors rekan kelasnya yang gaduh.,Rekan kelasnya diberi penghargaan atas perilaku mereka.,0
Ayahku baru saja membeli mobil baru.,Untuk merayakannya kami semua pergi berkendara.,Ada mobil lain yang melanggar rambu berhenti dan menabrak kami.,Aku menabrak jendela cukup keras hingga pecah.,Aku memanjat keluar dan aku dan ayah baik-baik saja.,Kami berdua tertindih mobil.,0
Keponakanku menyukai film Frozen.,Dia selalu ingin itu diputar.,Dia bernyanyi mengelilingi rumah.,Dia suka berteriak let it go.,Dia menyanyikannya lagi dan lagi.,Dia menyukai olahraga dan membenci hal-hal berbau putri.,0
"Alex mendribel di lapangan, dengan timnya tertinggal dua poin.","Dia menilik papan skor, dan melihat hanya tersisa 5 detik.",Pikirannya berpacu saat dia coba mencari orang yang bebas.,Pemain bertahan menjaga rekan timnya seperti lem.,Buzzer berbunyi dan timnya memenangkan pertandingan.,Dia mencoba tembakan tiga poin dan meleset.,1
Aku datang ke perpustakaan dan mengambil kursi.,"Saat melihat sekitar, aku melihat seorang anak.",Dia menatapku sepanjang waktu.,Aku jadi frustasi dan bangkit dari kursiku.,Aku tidak keberatan dengan apa yang anak itu lakukan.,Aku bertanya apa masalahnya.,1
Iva dan Brant berupaya memiliki anak.,Mereka telah mencoba selama enam bulan tanpa hasil.,"Di sesi temu dengan dokternya, mereka menunjukkan keputusasaan.",Tetapi kemudian mereka melihat sang dokter tersenyum lebar.,Brant akan membatalkan rencananya menculik anak.,Pasangan itu akan bahagia mengetahui mereka akan segera punya anak.,1
Catherine selalu tertarik dengan olahraga Curling.,Catherine suka menonton para atlet memainkan olahraga itu di televisi.,"Suatu hari, Catherine memutuskan ia akan mengunjungi sesi latihan Curling. ","Saat latihan, salah seorang atlet mengajak Catherine untuk bermain. ",Sejak itu Catherine mulai berlatih setiap hari hingga menjadi mahir.,"Menurut Catherine, sepertinya curling membosankan. ",0
Francis selalu menunggu-nunggu untuk bisa belajar mengemudi. ,"Akhirnya, ia sudah cukup umur untuk memperoleh SIM.",Francis belajar sangat keras untuk memperoleh SIM. ,Ia lulus tes mengemudi dengan mudah. ,Francis bangga sekali dengan pencapaiannya. ,Francis memutuskan untuk naik transportasi umum saja. ,0
Kemarin aku sangat senang bisa menonton The Nutcracker.,Aku sungguh menyukainya. ,Sangat indah saat para penari menyemarakkan panggung. ,Aku merasa terhormat bisa menonton pertunjukan itu. ,Aku bersumpah tidak akan pernah menontonnya lagi. ,Aku ingin menontonnya lagi. ,1
Aku bangun untuk masuk ke kelasku pada pukul 8.30 pagi.,"Dengan mengantuk, aku bangun, lalu mandi.","Aku segera makan pagi, dan mulai berjalan ke kelas.","Setelah 50 menit kelas berlangsung, aku mulai berjalan kembali ke asramaku.",Aku memutuskan untuk kembali lagi ke kelas.,"Sesampainya di sana, aku tidur siang.",1
Gary ingin mendapatkan perhatian Lisa.,"Suatu hari, ia memutuskan untuk menulis sebuah puisi untuk Lisa.","Keesokan harinya di sekolah, Gary melihat Lisa di lorong.","Gary tersenyum sangat lebar kepada Lisa, lalu memberikan puisi itu kepadanya. ","Gary menampar keras Lisa, lalu pergi meninggalkannya.",Lisa mengaku ia juga menaksir Gary. ,1
Carlos bercita-cita mengunjungi Perancis. ,Ia memutuskan untuk belajar bahasa Perancis sebelum pergi ke sana.,"Ia mendaftar di sebuah kelas malam, dan belajar sangat giat. ","Akhirnya, Carlos dapat berbicara dalam bahasa Perancis dengan cukup baik. ",Carlos memesan penerbangan ke Australia.,Carlos memanfaatkan bahasa Perancisnya sebaik mungkin dalam perjalanannya ke Paris. ,1
Lars bercita-cita untuk mencoba fotografi.,"Temannya seorang fotografer yang andal, tetapi ia belum pernah mencobanya. ","Suatu hari, ia membeli sebuah kamera yang sederhana, tapi berkualitas tinggi. ","Sejak saat itu, Lars memotret alam setiap hari. ",Lars jatuh cinta pada fotografi.,Lars benci fotografi. ,0
Aku membeli sebuah televisi dari sebuah toko elektronik. ,Televisi itu berlayar datar besar dengan gambar berkualitas definisi tinggi. ,Karyawan toko itu meyakinkanku untuk membeli asuransi perpanjangan garansi untuk berjaga-jaga. ,"Seminggu kemudian, televisi itu jatuh dari dindingku dan pecah.",Aku bisa memperbaikinya dengan menggunakan garansi itu. ,Karyawan itu kemudian ditemukan tewas. ,0
Ryan sedang berada di sebuah taman.,Ia melihat seorang gadis kecil sedang memegang balon.,"Saat ia meninggalkan taman, ia melihat balon yang sama menyangkut di sebuah pohon. ",Ia memanjat pohon untuk mengambilkan balon itu. ,"Dengan sengaja, Ryan meletuskan balon itu. ","Kemudian, Ryan mencari gadis itu untuk menyerahkan balonnya yang hilang. ",1
Manajer Jen berkata bahwa Jen perlu mengunggah daftar riwayat hidupnya.,Ia menyadari daftar riwayat hidupnya tidak dalam format yang benar. ,Ia mentransfer seluruh konten ke templat yang tepat.,Ia memperbarui daftar riwayat hidupnya dengan menambahkan informasi tentang pekerjaan terbarunya. ,"Kemudian, ia mengirimkannya kepada manajernya. ",Jen benci mencuci piring-piring kotor.,0
Neil sedang berkeliling kota Fez.,Ia mencicipi kuliner etnik mereka.,"Kemudian, ia pergi berbelanja suvenir. ",Ia mencatat bahwa Fez juga mempunyai seniman jalanan yang hebat. ,Neil bersenang-senang di sana. ,Neil dan Fez menjadi teman karib. ,0
Aku perlu mengajak anjingku berjalan-jalan. ,Lingkungan sekitarku mensyaratkan untuk merantai piaraan saat membawanya berjalan-jalan.,Aku mencari rantai di rumahku. ,Aku tidak menemukannya.,Aku memutuskan untuk membawa anjingku ke halaman belakang. ,Aku membiarkan anjingku masuk ke dalam rumah. ,0
Hari itu cerah dan hangat. ,"Jadi, menurut Joe akan menyenangkan untuk berjalan-jalan. ",Ia memutuskan untuk berjalan ke kedai kopi setempat. ,"Tapi, di tengah perjalanan, ia mulai merasa letih. ","Jadi, ia berlari menuju ke kedai kopi itu. ",Joe menyesal sudah bepergian. ,1
Jen seharian menunggu sebuah paket. ,Akhirnya ia melihat kurir UPS berjalan ke arah pintunya. ,"Kurir itu menyerahkan paketnya, lalu Jen membawanya ke dalam.",Ia membuka paket itu dengan sebuah pisau. ,Di dalam kotak itu ada bayi yang baru saja lahir.,Jen menemukan mantel barunya di dalam paket. ,1
Frank tidak ingin mengerjakan pekerjaan rumahnya.,Ia malah ingin bermain gim video. ,Orang tua Frank mengatakan kepadanya untuk mengerjakan pekerjaan rumahnya terlebih dulu. ,"Frank mengamuk, dan dihukum.",Frank tidak boleh bermain gim videonya selama seminggu. ,Frank mendapatkan semua gim baru. ,0
Timmy mengikuti Kompetisi 3 Poin di sekolahnya. ,Pemenangnya akan mendapatkan kesempatan untuk memenangkan beasiswa kuliah sebesar $ 1000. ,Timmy berlatih mencetak tiga poin sepanjang akhir pekan. ,Ia sudah siap saat hari kompetisi tiba.,Timmy memenangkan kompetisi itu.,Timmy pergi ke tempat latihan golf pada hari kompetisi. ,0
Drake menghadiri sebuah pesta pada hari Jumat.,Dia menemukan bahwa dompetnya telah dicuri dari mantelnya. ,"Drake segera menelepon polisi, namun dompetnya tidak ditemukan. ",Drake protes kepada tuan rumah pesta tentang masalah itu. ,Dan tuan rumah mengatakan kepadanya bahwa ia pun tidak tahu.,Drake mengatakan kepada tuan rumah bahwa ia ingin menghadiri pestanya lagi. ,0
Bob menemukan ban truknya kempes. ,Ia tidak pernah mengganti ban sebelumnya. ,Ia mengeluarkan dongkrak ban dan besi. ,Ia tidak bisa melepas bautnya. ,Bob menelepon seseorang untuk memperbaiki bannya yang kempes.,Bob mengemudikan truknya ke pasar.,0
Jack letih menulis email di komputer tabletnya.,Ia menyimpulkan ia perlu membeli sebuah laptop.,"Ia mencari informasi tentang laptop yang berbeda-beda, hingga ia menemukan yang sempurna. ","Akhirnya, ia membelinya.",Sekarang Jack benar-benar menikmati membalas email-email.,"Sekarang Jack menggunakan layanan pos, alih-alih email. ",0
Rambut Jake sudah agak terlalu panjang.,Mendatang ia akan ada wawancara kerja. ,Ia meminta ibunya untuk memotong rambutnya.,Ibunya memotong rambutnya dengan bagus dan tampak profesional. ,Jake lepas tangan.,Jake mendapatkan pekerjaan itu. ,1
Sean mampir hari ini. ,"Aku, Sam dan Sean bermain gim.",Mereka mulai kesal kepadaku karena buruknya aku dalam bermain. ,Mereka bilang aku tidak bisa bermain lagi sampai aku bisa lebih baik. ,Aku benar-benar sakit hati. ,Aku benar-benar puas. ,0
Sarah hendak mengirimkan sebuah kartu. ,Ia pergi ke kantor pos.,Ia membeli perangko.,Ia memasukkan surat itu ke dalam sebuah amplop.,Sarah mengirimkan sendiri suratnya.,Surat Sarah akan segera menuju ke tujuannya. ,1
Chuck letih bekerja.,Ia menghentikan pekerjaannya untuk sementara waktu. ,Ia membuka forum untuk mengobrol dengan rekan-rekan kerjanya. ,"Setelah kondisi yang tidak menyenangkan itu, ia memerlukan istirahat ini. ",Chuck memutuskan untuk berhenti dari pekerjaannya. ,Ia kemudian merasa terdorong untuk kembali bekerja. ,1
Bob memakai kantong belanja plastik untuk berbelanja. ,"Lalu, temannya mengatakan kepadanya bahwa plastik buruk untuk lingkungan hidup. ",Bob memutuskan untuk hidup tanpa kantong plastik. ,Bob membeli beberapa kantong belanja yang dapat digunakan kembali. ,Bob memakai kantong belanja yang dapat digunakan kembali itu untuk berbelanja.,Bob terus memakai kantong belanja plastiknya untuk berbelanja. ,0
Joe membutuhkan sebuah foto dirinya untuk suatu proyek.,Ia menelepon beberapa seniman setempat untuk menanyakan tarifnya. ,Salah satu seniman mempunyai tarif yang wajar. ,Joe membuat janji dengan seniman itu untuk membuat potret. ,Joe puas sekali dengan hasilnya.,Seniman itu melukis kucing Joe. ,0
Ann mencoba untuk berhenti merokok.,Ia melakukan beberapa upaya tapi selalu gagal. ,Kemudian ia menggunakan koyo nikotin untuk membantunya. ,Dan ini berhasil membantunya!,Ann menggandakan jumlah rokok yang ia isap setiap hari. ,Ann berhasil berhenti merokok. ,1
Jen dikirim ke bibinya selama musim panas. ,Ia benci membayangkan jauh dari perpustakaan daerahnya sepanjang musim panas. ,"Ia membawa beberapa buku, tetapi buku-buku itu akan segera habis dibacanya.","Saat ia tiba, bibinya membawanya ke suatu ruangan khusus di rumahnya. ",Jen melihat buku-bukunya terbakar di perapian. ,Ruangan itu penuh dengan rak-rak buku yang menarik bagi para gadis. ,1
Kemarin jadwalnya pembersihan gigi Rob.,Biasanya ia takut sekali dengan dokter gigi. ,Tetapi ada perawat baru yang imut di kantor.,"Jadi, dia bersemangat untuk pergi. ",Rob merasa segar kembali setelah kolonoskopi. ,Rob merasa kecewa saat perawat yang imut itu tidak ada pada hari itu. ,1
Joe sering dipermalukan.,Ia selalu dilecehkan setiap ada kesempatan. ,Ia sedang makan sepotong pai saat ia merasakan sesuatu yang keras sekali di mulutnya. ,Joe dihantam dengan sebuah batu hingga giginya rontok. ,Joe ingin lebih sering dihina.,Joe memutuskan tidak mau dihina lagi. ,1
Rob belum pernah naik kereta luncur. ,Teman-temannya menawarinya sebuah tiket gratis ke Taman Hiburan Six Flags.,Rob memutuskan untuk ikut serta. ,"Mereka semua pergi, dan mengantri panjang. ",Rob mempunyai teman yang dermawan. ,Teman-teman Rob kurang bijaksana. ,0
Karlita telah menunggu Sam untuk memanggilnya.,Dia berjanji meneleponnya hari Jumat.,Sekarang sudah hari Sabtu dan dia tidak mendengar kabar apapun.,Akhirnya dia memutuskan memanggilnya.,Sam mengangkat teleponnya.,Karlita memesan lewat telepon.,0
Ami pulang rumah dari sekolah pada hari ulang tahunnya ke rumah yang kosong.,Dia marah kalau semua orang telah melupakan hari spesialnya.,Dia berjalan sambil sedih menuju ruang tamu.,"Tiba-tiba, teman dan keluarganya muncul dari tempat bersembunyinya.",Ami tersenyum dengan bahagia.,Ami berjalan keluar meninggalkan rumah.,0
Fani mencoba memukul saya tanpa alasan jelas.,"Semarahnya saya, saya menghadang pukulannya.",Dia terus mengayunkan pukulannya kepada saya.,"Demi upaya menghentikannya, saya membantingnya ke tanah.",Fani akhirnya berhenti.,Saya memeluk erat Fani.,0
Bella memiliki sepupu bernama Astuti.,Bella dan Astuti pernah menjadi teman ketika masih kecil.,Astuti mulai menjadi bodoh ketika dia dewasa.,Dia masuk penjara karena mencuri tampon dari dollar store.,Bella putus kontak dengannya.,Bella bangga kepada Astuti.,0
Bayi Tomi dan Pami itu mudah terbangun.,Tetangga bodoh mereka selalu membiarkan anjingnya menggonggong sepanjang hari.,"Setiap kali Pami menidurkan bayinya, anjing itu lalu mulai menggonggong.",Pami berkhayal melepaskan anjing itu agar dapat kabur.,"Suatu malam, Pami membiarkan kucing masuk ke rumahnya.","Suatu malam, Pami memutuskan melepaskan anjingnya.",1
Meymey diterima masuk kuliah di Fredonia.,Dia naik bis ke sekolah barunya.,Dia menjelajahi kampus.,Dia menyukai segala yang dia lihat.,Dia keluar sekolah.,Dia bahkan menyukai semua profesornya.,1
Maria perlu mencabut giginya.,Dia ingin dokter gigi membuatnya tertidur.,Yang bisa dia lakukan yaitu membuat mati rasa dengan Novocaine.,Maria memandangnya ketakutan.,"Setelah melihat ekspresinya, dokter gigi mampu membantu Maria.",Maria pergi dari dokter gigi dengan hati gembira.,0
Feri bangga karena nilai GPA-nya tinggi.,Dia bekerja tiap sore mengerjakan tugas demi meningkatkannya.,Teman Feri memperingatinya kalau dia ketinggalan serunya.,"Lalu di kemudian hari, Feri menjadi pengacara sukses.",Feri sedih bahwa dia mencapai banyak hal.,Feri bangga atas pencapaiannya.,1
Istriku bilang aku kurang gairah.,Bahwa aku tidak punya banyak hobi atau minat.,Aku mencoba berdebat tapi tak bisa.,Aku sadari ternyata dia benar.,Aku memutuskan berubah.,Aku belum menikah.,0
Nina ingin kostum Halloween yang bagus.,Tapi dia tidak mampu membeli apapun yang mewah.,Dia mencari di dalam rumah untuk inspirasi.,Lalu dia temukan kostum keren gratis.,Nina membeli mainan.,Nina senang.,1
Veronika suka mendaki di hutan.,Suatu hari saat dia sedang berlalu lalu menemukan rumah pohon.,Dia memanjat tangganya dan takjub dengan semua barang di dalam rumah itu.,Ruangannya penuh dengan furnitur dan selimut.,Veronika tidak begitu suka rumah pohon.,Veronika memutuskan untuk mengunjungi rumah pohon lebih rutin.,1
Hari yang indah musim semi di awal Maret.,Trisna memutuskan pergi jalan kaki ke hutan di balik rumahnya.,Dia mendengar burung pelatuk lalu melihatnya di pohon.,Dia tersandung akar pohon lalu jatuh di jalan kecil.,Trisna berlari pulang kembali ke rumah.,Trisna menghindari jatuhnya.,1
Bobby sangat haus dan ingin minum soda.,"Sayangnya, dia tidak punya uang.",Bobby berjalan kaki ke pom bensin dan bertanya apakah ada minuman soda.,Kasir menanyakan dia apakah punya uang.,Dia bilang tidak punya lalu meninggalkan pom bensin.,Dia memutuskan untuk berlari.,0
Jim menunggu di bandara.,Istrinya akan tiba di sana dalam satu jam.,Dia sangat bosan.,Lalu dia memutuskan untuk melanjutkan baca bukunya.,Jim melihat istrinya setelah satu jam.,Jim terlanjur pergi sebelum istrinya datang.,0
Jodi sangat ingin masuk Universitas Columbia.,"Dia sangat bekerja keras di sekolah, pernah masuk tim sepakbola.",Dia dimasukkan ke daftar tunggu.,"Meskipun dia kecewa, dia telah mencoba yang terbaiknya sampai akhir.",Jodi masih bangga atas kerja kerasnya.,Jodi memutuskan dia tidak ingin masuk kuliah.,0
Teman Gina yaitu Tami memiliki folder yang tidak ingin dipunyai siapa pun.,Gina menginginkannya tapi tidak tahu di mana membelinya.,Sekarang Tami punya Lisa Frank Trapper Keeper baru.,Gina cemburu karena dia menginginkannya juga.,Gina mengecek di eBay dan menemukan satu yang dapat dia beli.,Gina memotong rumput seluruh halaman dan tidak ada bantuan dari siapa pun.,0
Lisa memiliki pohon Natal yang indah di rumahnya.,"Suatu hari, dia pergi ke toko.","Ketika dia kembali, pohonnya terjatuh.",Kucingnya memanjat pohon lalu menariknya sampai jatuh!,Lisa memutuskan lebih menyukai pohon tergeletak di lantai daripada berdiri.,Lisa menghukum kucingnya.,1
Peter memakai kursi yang sama Bertahun-tahun,Sehingga menjadi usang.,"Dia memutuskan membeli yang baru, kursi yang lebih nyaman.",Ketika kursi tiba Peter sangat bahagia.,Peter pikir kursi itu bahkan lebih nyaman daripada kursi lamanya.,Peter membiarkan anjingnya memakai kursi sendiri.,0
Rex sedang bersiap untuk pesta malam ini.,Dia menyadari belum menyiapkan apapun untuk tamu makan dengan keju.,Rex pergi keluar untuk mendapatkan baguette.,Dia memotongnya tipis-tipis agar mudah dimakan.,Rex pergi dalam perjalanan panjang mengarungi samudra.,Semua orang menikmati keju dan rotinya.,1
Ali selalu naik kereta untuk pergi kerja setiap hari.,Suatu hari dia sangat sakit tapi tetap pergi kerja.,Dia bekerja keras sepanjang hari bahkan membawa kerja ke rumah.,Dia naik kereta lalu tertidur.,Dia pernah jadi pegawai yang malas.,Dia melewatkan perhentiannya dan terpaksa naik bis ke rumah.,1
Tim sepakbola telah bekerja keras sepanjang musim.,Mereka telah memenangkan setiap pertandingan dan berhasil masuk ke kejuaraan.,Hanya tersisa waktu hitungan detik dan pertandingannya berakhir imbang.,Bek pertahanan melambungkan umpan panjang dan si penerima mencetak skor.,Penontok bersorak mencemooh tim dengan keras.,Penonton semuanya berdiri dari kursi dan bertepuk tangan dengan liar.,1
Kita tinggal di gedung yang menjulang tinggi.,"Suatu hari angin berhembus kencang, sebagian karena disebabkan oleh tinggi gedung.",Angin sering menghembuskan ranting pohon sehingga istri saya tidak dapat tidur.,Angin juga merusak kabel internet.,Saya dan istriku sangat tidak senang kehilangan sambungan internet kami.,Kami menyukai angin kencang dan kurang tidur.,0
Kania ingin membeli papan tik baru untuk komputernya.,Dia menghemat selama berbulan-bulan agar dapat membeli papan tik yang bagus.,Kania akhirnya online dan memesan papan tiknya!,Dia menunggu barang sampai dengan semangat selama berhari-hari,Lalu dia membatalkan pesanannya.,Lalu papan tiknya tiba di dalam kotak surat.,1
Joni lulus dari kuliah dan mulai mencari kerja.,Dia melamar kerja sesuai bidangnya setiap hari.,"Tiga minggu setelah mulai, dia mendapatkan panggilan.",Orang yang menelpon bertanya apakah dia tertarik untuk wawancara.,Joni menerimanya.,Joni menolak penawarannya.,0
Julia suka membaca buku apapun yang bisa dia pegang.,Kebanyakan waktunya dihabiskan di perpustakaan.,Perpustakaan favoritnya dikelola oleh Nona Wati,Nona Wati melihat kecintaan Julia terhadap buku lalu menawarkannya pekerjaan.,Julia menerimanya dengan senang!,Julia memukul temannya di mata.,0
Keluarga Ami akan pergi ke Six Flags.,Dia duduk dengan sabar di mobil menunggu tiba.,Ketika tiba dia duduk dengan lutut melakukan survei di taman.,Dia menunggu antrian selama satu jam untuk mengendarai roller coaster terbesar.,Ami sungguh bersemangat berada di taman.,Ami pikir taman itu membosankan.,0
Setya terburu-buru menuju ke pertandingan bola.,"Di jalan raya, Setya mengemudikan mobilnya sangat cepat.",Polisi patroli jalan raya menghentikan mobil Setya.,Polisi memberikan tilang kepada Setya karena mengebut.,Setya puas.,Setya marah.,1
Putri saya pergi ke acara pesta ulang tahun temannya.,Dia sangat senang menuju pesta itu.,Dia tidak berbicara apapun lagi selama sepekan.,Dia pergi ke pesta itu dan bersenang-senang.,Dia memutuskan untuk tidak pergi ke pesta lagi.,"Ketika dia pulang langsung segera tertidur, kecapekan.",1
Bobi butuh uang untuk membeli makanan.,Dia sedih bahwa tidak dapat makan karena tidak punya uang.,Dia memutuskan menulis buku tentang hidupnya yang susah.,Orang-orang mendadak memuji bukunya dan membeli ribuan eksemplar!,Keuntungan dari penjualan buku membuat Bobi cukup uang untuk makan.,Reaksi publik terhadap bukunya berarti Bobi masih lapar.,0
Saya baru saja menyelesaikan maraton pertama hari ini.,Jaraknya sekitar enam mil dan saya bekerja sangat keras.,Saya melatihnya sekitar tiga bulan.,Berlari selalu ada di daftar kerjaku dalam hidup,Saya tidak pernah sebahagia ini.,Saya sungguh kecewa dengan diriku.,0
Bobby melipat permen buahnya menjadi bentuk pesawat.,Ia mengangkat lengan dan melemparkan pesawat permennya sekuat mungkin.,Namun pesawatnya terlalu berat dan jatuh bagaikan bata.,Bobby memutuskan bahwa pesawat sebaiknya dibuat dari kertas.,Bobby berusia lima tahun.,Bobby berusia tiga puluh lima tahun.,0
