[ENDING1],[ENDING2],[STARTPHRASE],[LABEL]
"Pekerjaan ayah semudah memasukkan benang ke dalam jarum. Dengan demikian, pekerjaan ayah sangat mudah.","Pekerjaan ayah semudah memasukkan benang ke dalam jarum. Dengan demikian, pekerjaan ayah sangat sulit.",Pekerjaan ayah semudah memasukkan benang ke dalam jarum.,1
"Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah. Dengan demikian, tasnya besar.","Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah. Dengan demikian, tasnya kecil.",Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah.,0
"Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal. Dengan demikian, tasnya besar.","Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal. Dengan demikian, tasnya kecil.",Siswa SD itu membawa tas layaknya orang yang akan pergi ke mal.,1
"Dia melahap makanan seolah belum makan tiga hari. Dengan demikian, dia sangat lapar.","Dia melahap makanan seolah belum makan tiga hari. Dengan demikian, dia sangat kenyang.",Dia melahap makanan seolah belum makan tiga hari.,0
"Dia melahap makanan seolah habis menghadiri tiga kondangan. Dengan demikian, dia sangat lapar.","Dia melahap makanan seolah habis menghadiri tiga kondangan. Dengan demikian, dia sangat kenyang.",Dia melahap makanan seolah habis menghadiri tiga kondangan.,1
"Ia berjalan layaknya siput. Dengan demikian, dia berjalan dengan lambat.","Ia berjalan layaknya siput. Dengan demikian, dia berjalan dengan cepat.",Ia berjalan layaknya siput.,0
"Ia berjalan layaknya macan. Dengan demikian, dia berjalan dengan lambat.","Ia berjalan layaknya macan. Dengan demikian, dia berjalan dengan cepat.",Ia berjalan layaknya macan.,1
"Kehadirannya bagaikan petir di siang bolong. Dengan demikian, kehadirannya adalah musibah.","Kehadirannya bagaikan petir di siang bolong. Dengan demikian, kehadirannya adalah anugerah.",Kehadirannya bagaikan petir di siang bolong.,0
"Kehadirannya bagaikan bintang di langit malam. Dengan demikian, kehadirannya adalah musibah.","Kehadirannya bagaikan bintang di langit malam. Dengan demikian, kehadirannya adalah anugerah.",Kehadirannya bagaikan bintang di langit malam.,1
"Dia menjalani hidup bak burung di angkasa. Dengan demikian, hidupnya bebas.","Dia menjalani hidup bak burung di angkasa. Dengan demikian, hidupnya terkekang.",Dia menjalani hidup bak burung di angkasa.,0
"Dia menjalani hidup bak singa di kebun binatang. Dengan demikian, hidupnya bebas.","Dia menjalani hidup bak singa di kebun binatang. Dengan demikian, hidupnya terkekang.",Dia menjalani hidup bak singa di kebun binatang.,1
"Situasi kelas A seramai KRL di jam kerja. Dengan demikian, siswa-siswi kelas A berpartisipasi dengan aktif.","Situasi kelas A seramai KRL di jam kerja. Dengan demikian, siswa-siswi kelas A berpartisipasi dengan pasif.",Situasi kelas A seramai KRL di jam kerja.,0
"Situasi kelas A seramai kuburan di malam hari. Dengan demikian, siswa-siswi kelas A berpartisipasi dengan aktif.","Situasi kelas A seramai kuburan di malam hari. Dengan demikian, siswa-siswi kelas A berpartisipasi dengan pasif.",Situasi kelas A seramai kuburan di malam hari.,1
"Adik menginginkan rambut seperti dora. Dengan demikian, adik ingin memiliki rambut pendek.","Adik menginginkan rambut seperti dora. Dengan demikian, adik ingin memiliki rambut panjang.",Adik menginginkan rambut seperti dora.,0
"Adik menginginkan rambut seperti rapunzel. Dengan demikian, adik ingin memiliki rambut pendek.","Adik menginginkan rambut seperti rapunzel. Dengan demikian, adik ingin memiliki rambut panjang.",Adik menginginkan rambut seperti rapunzel.,1
"Curhatannya sepanjang skripsi mahasiswa kedokteran. Dengan demikian, ceritanya panjang.","Curhatannya sepanjang skripsi mahasiswa kedokteran. Dengan demikian, ceritanya pendek.",Curhatannya sepanjang skripsi mahasiswa kedokteran.,0
"Curhatannya sepanjang iklan badut di jalanan. Dengan demikian, ceritanya panjang.","Curhatannya sepanjang iklan badut di jalanan. Dengan demikian, ceritanya pendek.",Curhatannya sepanjang iklan badut di jalanan.,1
"Tulisan tangannya bak tulisan dokter. Dengan demikian, tulisannya berantakan.","Tulisan tangannya bak tulisan dokter. Dengan demikian, tulisannya rapi.",Tulisan tangannya bak tulisan dokter.,0
"Tulisan tangannya bak ketikan komputer canggih. Dengan demikian, tulisannya berantakan.","Tulisan tangannya bak ketikan komputer canggih. Dengan demikian, tulisannya rapi.",Tulisan tangannya bak ketikan komputer canggih.,1
"Memintanya membereskan kamar sama seperti menyuruh kucing terbang. Dengan demikian, perintah itu mustahil dilakukan.","Memintanya membereskan kamar sama seperti menyuruh kucing terbang. Dengan demikian, perintah itu selalu dilakukan.",Memintanya membereskan kamar sama seperti menyuruh kucing terbang.,0
"Memintanya membereskan kamar sama seperti berbincang dengan google assistant. Dengan demikian, perintah itu mustahil dilakukan.","Memintanya membereskan kamar sama seperti berbincang dengan google assistant. Dengan demikian, perintah itu selalu dilakukan.",Memintanya membereskan kamar sama seperti berbincang dengan google assistant.,1
"Dia menyelesaikan pekerjaannya secepat memasak mi instan. Dengan demikian, dia bekerja dengan cekatan.","Dia menyelesaikan pekerjaannya secepat memasak mi instan. Dengan demikian, dia bekerja dengan lambat.",Dia menyelesaikan pekerjaannya secepat memasak mi instan.,0
"Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang. Dengan demikian, dia bekerja dengan cekatan.","Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang. Dengan demikian, dia bekerja dengan lambat.",Dia menyelesaikan pekerjaannya secepat mengurus paspor yang hilang.,1
"Kelas bersama Pak Faisal seperti sedang berada di kandang singa. Dengan demikian, suasana kelas sangat menegangkan.","Kelas bersama Pak Faisal seperti sedang berada di kandang singa. Dengan demikian, suasana kelas sangat bersahabat.",Kelas bersama Pak Faisal seperti sedang berada di kandang singa.,0
"Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga. Dengan demikian, suasana kelas sangat menegangkan.","Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga. Dengan demikian, suasana kelas sangat bersahabat.",Kelas bersama Pak Faisal seperti sedang bermain dengan anak tetangga.,1
"Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang. Dengan demikian, orang asing bisa menjadi teman.","Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang. Dengan demikian, orang asing bisa menjadi musuh.",Orang asing yang kau temui sewaktu-waktu bisa menjadi rumah untuk pulang.,0
"Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan. Dengan demikian, orang asing bisa menjadi teman.","Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan. Dengan demikian, orang asing bisa menjadi musuh.",Orang asing yang kau temui sewaktu-waktu bisa menjadi jurang di ujung jalan.,1
"Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan. Dengan demikian, mereka berbicara dengan suara kencang.","Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan. Dengan demikian, mereka berbicara dengan suara pelan.","Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan.",0
"Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan. Dengan demikian, mereka berbicara dengan suara kencang.","Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan. Dengan demikian, mereka berbicara dengan suara pelan.","Saat kelas berlangsung, mereka berbincang bak berbisik pada dedaunan.",1
"Perempuan itu sangat suka berkumpul dengan bintang-bintang. Dengan demikian, perempuan itu suka bersosialisasi.","Perempuan itu sangat suka berkumpul dengan bintang-bintang. Dengan demikian, perempuan itu suka menyendiri.",Perempuan itu sangat suka berkumpul dengan bintang-bintang.,0
"Perempuan itu sangat suka memeluk keheningan malam. Dengan demikian, perempuan itu suka bersosialisasi.","Perempuan itu sangat suka memeluk keheningan malam. Dengan demikian, perempuan itu suka menyendiri.",Perempuan itu sangat suka memeluk keheningan malam.,1
"Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya. Dengan demikian, dia peduli.","Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya. Dengan demikian, dia tidak peduli.","Saat aku terpuruk, dia berlagak layaknya fans yang mendukung idolanya.",0
"Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota. Dengan demikian, dia peduli.","Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota. Dengan demikian, dia tidak peduli.","Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota.",1
"Ayahku bersikap seolah bisa menyapa seluruh dunia. Dengan demikian, ayahnya sangat ramah.","Ayahku bersikap seolah bisa menyapa seluruh dunia. Dengan demikian, ayahnya sangat kaku.",Ayahku bersikap seolah bisa menyapa seluruh dunia.,0
"Ayahku bersikap seolah dia adalah robot yang sudah usang. Dengan demikian, ayahnya sangat ramah.","Ayahku bersikap seolah dia adalah robot yang sudah usang. Dengan demikian, ayahnya sangat kaku.",Ayahku bersikap seolah dia adalah robot yang sudah usang.,1
"Dia tampak seperti mahasiswa yang gagal ujian. Dengan demikian, dia sangat sedih.","Dia tampak seperti mahasiswa yang gagal ujian. Dengan demikian, dia sangat senang.",Dia tampak seperti mahasiswa yang gagal ujian.,0
"Dia tampak seperti habis memenangkan lotre. Dengan demikian, dia sangat sedih.","Dia tampak seperti habis memenangkan lotre. Dengan demikian, dia sangat senang.",Dia tampak seperti habis memenangkan lotre.,1
"Menurutnya, merantau adalah petualangan mencari jati diri. Dengan demikian, menurutnya, merantau itu mendebarkan.","Menurutnya, merantau adalah petualangan mencari jati diri. Dengan demikian, menurutnya, merantau itu menyesakkan.","Menurutnya, merantau adalah petualangan mencari jati diri.",0
"Menurutnya, merantau adalah perang yang tak berujung. Dengan demikian, menurutnya, merantau itu mendebarkan.","Menurutnya, merantau adalah perang yang tak berujung. Dengan demikian, menurutnya, merantau itu menyesakkan.","Menurutnya, merantau adalah perang yang tak berujung.",1
"Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah. Dengan demikian, rara tampak rapi.","Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah. Dengan demikian, rara tampak lusuh.",Rara berpakaian seolah akan mengikuti pemotretan di sebuah majalah.,0
"Rara berpakaian seolah akan mengambil paket di depan rumah. Dengan demikian, rara tampak rapi.","Rara berpakaian seolah akan mengambil paket di depan rumah. Dengan demikian, rara tampak lusuh.",Rara berpakaian seolah akan mengambil paket di depan rumah.,1
"Cara bicaranya bak putri Solo. Dengan demikian, dia bicara dengan lemah lembut.","Cara bicaranya bak putri Solo. Dengan demikian, dia bicara dengan kasar.",Cara bicaranya bak putri Solo.,0
"Cara bicaranya bak preman di pasar. Dengan demikian, dia bicara dengan lemah lembut.","Cara bicaranya bak preman di pasar. Dengan demikian, dia bicara dengan kasar.",Cara bicaranya bak preman di pasar.,1
"Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri. Dengan demikian, mahasiswa itu menjawab dengan gelagapan.","Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri. Dengan demikian, mahasiswa itu menjawab dengan tenang.","Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri.",0
"Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya. Dengan demikian, mahasiswa itu menjawab dengan gelagapan.","Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya. Dengan demikian, mahasiswa itu menjawab dengan tenang.","Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya.",1
"Kamar kosnya bagaikan rumah yang habis dimasuki pencuri. Dengan demikian, kamar kosnya berantakan.","Kamar kosnya bagaikan rumah yang habis dimasuki pencuri. Dengan demikian, kamar kosnya rapi.",Kamar kosnya bagaikan rumah yang habis dimasuki pencuri.,0
"Kamar kosnya bagaikan rumah dengan selusin ART. Dengan demikian, kamar kosnya berantakan.","Kamar kosnya bagaikan rumah dengan selusin ART. Dengan demikian, kamar kosnya rapi.",Kamar kosnya bagaikan rumah dengan selusin ART.,1
"Rumahnya seluas GBK. Dengan demikian, rumahnya luas.","Rumahnya seluas GBK. Dengan demikian, rumahnya sempit.",Rumahnya seluas GBK.,0
"Rumahnya seluas jalan tikus. Dengan demikian, rumahnya luas.","Rumahnya seluas jalan tikus. Dengan demikian, rumahnya sempit.",Rumahnya seluas jalan tikus.,1
"Bagi dia, rahasia adalah pusaka keluarga. Dengan demikian, dia bisa dipercaya.","Bagi dia, rahasia adalah pusaka keluarga. Dengan demikian, dia tidak bisa dipercaya.","Bagi dia, rahasia adalah pusaka keluarga.",0
"Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja. Dengan demikian, dia bisa dipercaya.","Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja. Dengan demikian, dia tidak bisa dipercaya.","Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja.",1
"Dia adalah sinar matahari yang menyelimuti bumi. Dengan demikian, sikapnya hangat.","Dia adalah sinar matahari yang menyelimuti bumi. Dengan demikian, sikapnya dingin.",Dia adalah sinar matahari yang menyelimuti bumi.,0
"Dia adalah hujan di tengah malam. Dengan demikian, sikapnya hangat.","Dia adalah hujan di tengah malam. Dengan demikian, sikapnya dingin.",Dia adalah hujan di tengah malam.,1
"Kereta sore itu bagaikan bisa dipakai bermain sepak bola. Dengan demikian, kereta itu lowong.","Kereta sore itu bagaikan bisa dipakai bermain sepak bola. Dengan demikian, kereta itu padat.",Kereta sore itu bagaikan bisa dipakai bermain sepak bola.,0
"Kereta sore itu bagaikan lautan yang dipenuhi ikan. Dengan demikian, kereta itu lowong.","Kereta sore itu bagaikan lautan yang dipenuhi ikan. Dengan demikian, kereta itu padat.",Kereta sore itu bagaikan lautan yang dipenuhi ikan.,1
"Tanggung jawab Dian seringan menggendong satu keluarga besar. Dengan demikian, tanggung jawabnya berat.","Tanggung jawab Dian seringan menggendong satu keluarga besar. Dengan demikian, tanggung jawabnya ringan.",Tanggung jawab Dian seringan menggendong satu keluarga besar.,0
"Tanggung jawab Dian seringan daun yang dihembus angin. Dengan demikian, tanggung jawabnya berat.","Tanggung jawab Dian seringan daun yang dihembus angin. Dengan demikian, tanggung jawabnya ringan.",Tanggung jawab Dian seringan daun yang dihembus angin.,1
"Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur. Dengan demikian, setelah ia datang, keadaan semakin buruk.","Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur. Dengan demikian, setelah ia datang, keadaan semakin baik.","Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur.",0
"Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan. Dengan demikian, setelah ia datang, keadaan semakin buruk.","Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan. Dengan demikian, setelah ia datang, keadaan semakin baik.","Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan.",1
"Jarak rumah ke sekolahnya sejauh menyebrangi samudra. Dengan demikian, sekolahnya jauh.","Jarak rumah ke sekolahnya sejauh menyebrangi samudra. Dengan demikian, sekolahnya dekat.",Jarak rumah ke sekolahnya sejauh menyebrangi samudra.,0
"Jarak rumah ke sekolahnya sejauh rumah tetangga. Dengan demikian, sekolahnya jauh.","Jarak rumah ke sekolahnya sejauh rumah tetangga. Dengan demikian, sekolahnya dekat.",Jarak rumah ke sekolahnya sejauh rumah tetangga.,1
"Murid SMP itu setinggi tiang listrik. Dengan demikian, badan murid SMP itu tinggi.","Murid SMP itu setinggi tiang listrik. Dengan demikian, badan murid SMP itu pendek.",Murid SMP itu setinggi tiang listrik.,0
"Murid SMP itu setinggi pohon taoge. Dengan demikian, badan murid SMP itu tinggi.","Murid SMP itu setinggi pohon taoge. Dengan demikian, badan murid SMP itu pendek.",Murid SMP itu setinggi pohon taoge.,1
"Nasibnya bagai orang yang selamat dari tragedi mematikan,. Dengan demikian, dia beruntung.","Nasibnya bagai orang yang selamat dari tragedi mematikan,. Dengan demikian, dia apes.","Nasibnya bagai orang yang selamat dari tragedi mematikan,.",0
"Nasibnya bagai orang yang kena tipu,. Dengan demikian, dia beruntung.","Nasibnya bagai orang yang kena tipu,. Dengan demikian, dia apes.","Nasibnya bagai orang yang kena tipu,.",1
"Baginya, dunia digital adalah tempat bermain yang menyenangkan. Dengan demikian, dia melek teknologi.","Baginya, dunia digital adalah tempat bermain yang menyenangkan. Dengan demikian, dia gaptek.","Baginya, dunia digital adalah tempat bermain yang menyenangkan.",0
"Baginya, dunia digital adalah rumah hantu yang penuh jebakan. Dengan demikian, dia melek teknologi.","Baginya, dunia digital adalah rumah hantu yang penuh jebakan. Dengan demikian, dia gaptek.","Baginya, dunia digital adalah rumah hantu yang penuh jebakan.",1
"Pendiriannya bagai tak bisa digoyangkan angin. Dengan demikian, dia berpendirian teguh.","Pendiriannya bagai tak bisa digoyangkan angin. Dengan demikian, dia tidak punya pendirian.",Pendiriannya bagai tak bisa digoyangkan angin.,0
"Pendiriannya bagai peraturan yang berubah-ubah. Dengan demikian, dia berpendirian teguh.","Pendiriannya bagai peraturan yang berubah-ubah. Dengan demikian, dia tidak punya pendirian.",Pendiriannya bagai peraturan yang berubah-ubah.,1
"Dia berlagak seperti cucu yang punya jalan. Dengan demikian, dia bersikap seenaknya.","Dia berlagak seperti cucu yang punya jalan. Dengan demikian, dia bersikap hati-hati.",Dia berlagak seperti cucu yang punya jalan.,0
"Dia berlagak seperti anak ayam yang baru menetas. Dengan demikian, dia bersikap seenaknya.","Dia berlagak seperti anak ayam yang baru menetas. Dengan demikian, dia bersikap hati-hati.",Dia berlagak seperti anak ayam yang baru menetas.,1
"Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat. Dengan demikian, tekad mereka besar.","Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat. Dengan demikian, tekad mereka kecil.",Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat.,0
"Mereka mengikuti lomba seolah hanya untuk mengisi kuota. Dengan demikian, tekad mereka besar.","Mereka mengikuti lomba seolah hanya untuk mengisi kuota. Dengan demikian, tekad mereka kecil.",Mereka mengikuti lomba seolah hanya untuk mengisi kuota.,1
"Mengobrol dengannya terasa seperti menghabiskan satu lagu. Dengan demikian, bersamanya, waktu berlalu dengan cepat.","Mengobrol dengannya terasa seperti menghabiskan satu lagu. Dengan demikian, bersamanya, waktu berlalu dengan lambat.",Mengobrol dengannya terasa seperti menghabiskan satu lagu.,0
"Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan. Dengan demikian, bersamanya, waktu berlalu dengan cepat.","Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan. Dengan demikian, bersamanya, waktu berlalu dengan lambat.",Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan.,1
"Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika. Dengan demikian, tugas mahasiswa banyak.","Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika. Dengan demikian, tugas mahasiswa sedikit.",Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika.,0
"Tugas mahasiswa bagaikan bisa dihitung jari. Dengan demikian, tugas mahasiswa banyak.","Tugas mahasiswa bagaikan bisa dihitung jari. Dengan demikian, tugas mahasiswa sedikit.",Tugas mahasiswa bagaikan bisa dihitung jari.,1
"Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga. Dengan demikian, bersosialisasi itu melelahkan.","Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga. Dengan demikian, bersosialisasi itu menyenangkan.","Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga.",0
"Baginya, bersosialisasi itu seperti melepas rindu dengan orang tersayang. Dengan demikian, bersosialisasi itu melelahkan.","Baginya, bersosialisasi itu seperti melepas rindu dengan orang tersayang. Dengan demikian, bersosialisasi itu menyenangkan.","Baginya, bersosialisasi itu seperti melepas rindu dengan orang tersayang.",1
"Bermain media sosial bagai menjemur pakaian di waktu hujan. Dengan demikian, bermain media sosial adalah kegiatan yang sia-sia.","Bermain media sosial bagai menjemur pakaian di waktu hujan. Dengan demikian, bermain media sosial adalah kegiatan yang bermanfaat.",Bermain media sosial bagai menjemur pakaian di waktu hujan.,0
"Bermain media sosial bagai mengikuti kuliah 1 SKS. Dengan demikian, bermain media sosial adalah kegiatan yang sia-sia.","Bermain media sosial bagai mengikuti kuliah 1 SKS. Dengan demikian, bermain media sosial adalah kegiatan yang bermanfaat.",Bermain media sosial bagai mengikuti kuliah 1 SKS.,1
"Adik berlaku bak akan mengurus pinjaman di bank. Dengan demikian, adik sangat mandiri.","Adik berlaku bak akan mengurus pinjaman di bank. Dengan demikian, adik sangat manja.",Adik berlaku bak akan mengurus pinjaman di bank.,0
"Adik berlaku bak bayi yang merindukan ibunya. Dengan demikian, adik sangat mandiri.","Adik berlaku bak bayi yang merindukan ibunya. Dengan demikian, adik sangat manja.",Adik berlaku bak bayi yang merindukan ibunya.,1
"Langitnya tampak seperti senyuman mahasiswa yang lulus sidang. Dengan demikian, cuacanya cerah.","Langitnya tampak seperti senyuman mahasiswa yang lulus sidang. Dengan demikian, cuacanya mendung.",Langitnya tampak seperti senyuman mahasiswa yang lulus sidang.,0
"Langitnya tampak seperti wajah anak kecil yang kalah dalam permainan. Dengan demikian, cuacanya cerah.","Langitnya tampak seperti wajah anak kecil yang kalah dalam permainan. Dengan demikian, cuacanya mendung.",Langitnya tampak seperti wajah anak kecil yang kalah dalam permainan.,1
"Rumahnya tampak bagaikan istana megah. Dengan demikian, rumahnya indah.","Rumahnya tampak bagaikan istana megah. Dengan demikian, rumahnya tak terurus.",Rumahnya tampak bagaikan istana megah.,0
"Rumahnya tampak bagaikan rumah tak berpenghuni. Dengan demikian, rumahnya indah.","Rumahnya tampak bagaikan rumah tak berpenghuni. Dengan demikian, rumahnya tak terurus.",Rumahnya tampak bagaikan rumah tak berpenghuni.,1
"Hubungannya dengan sang kakak seperti anjing dan kucing. Dengan demikian, dia dan kakaknya sering bertengkar.","Hubungannya dengan sang kakak seperti anjing dan kucing. Dengan demikian, dia dan kakaknya sangat dekat.",Hubungannya dengan sang kakak seperti anjing dan kucing.,0
"Hubungannya dengan sang kakak seperti lem dan perangko. Dengan demikian, dia dan kakaknya sering bertengkar.","Hubungannya dengan sang kakak seperti lem dan perangko. Dengan demikian, dia dan kakaknya sangat dekat.",Hubungannya dengan sang kakak seperti lem dan perangko.,1
"Nilai matematikanya setinggi mata kaki. Dengan demikian, nilai matematikanya jelek.","Nilai matematikanya setinggi mata kaki. Dengan demikian, nilai matematikanya bagus.",Nilai matematikanya setinggi mata kaki.,0
"Nilai matematikanya setinggi langit. Dengan demikian, nilai matematikanya jelek.","Nilai matematikanya setinggi langit. Dengan demikian, nilai matematikanya bagus.",Nilai matematikanya setinggi langit.,1
"Berangkat sekolah ketika masih langit masih gelap ibarat menjemput rezeki. Dengan demikian, berangkat sekolah pagi itu bermanfaat.","Berangkat sekolah ketika masih langit masih gelap ibarat menjemput rezeki. Dengan demikian, berangkat sekolah pagi itu berbahaya.",Berangkat sekolah ketika masih langit masih gelap ibarat menjemput rezeki.,0
"Berangkat sekolah ketika masih langit masih gelap ibarat melawan arus. Dengan demikian, berangkat sekolah pagi itu bermanfaat.","Berangkat sekolah ketika masih langit masih gelap ibarat melawan arus. Dengan demikian, berangkat sekolah pagi itu berbahaya.",Berangkat sekolah ketika masih langit masih gelap ibarat melawan arus.,1
"Seperti membangunkan macan tidur, kerja di institusi kepolisian Indonesia. Dengan demikian, kerja menjadi Polisi di Indonesia itu beresiko.","Seperti membangunkan macan tidur, kerja di institusi kepolisian Indonesia. Dengan demikian, kerja menjadi Polisi di Indonesia itu mudah.","Seperti membangunkan macan tidur, kerja di institusi kepolisian Indonesia.",0
"Seperti membelah bolu, kerja di institusi kepolisian Indonesia. Dengan demikian, kerja menjadi Polisi di Indonesia itu beresiko.","Seperti membelah bolu, kerja di institusi kepolisian Indonesia. Dengan demikian, kerja menjadi Polisi di Indonesia itu mudah.","Seperti membelah bolu, kerja di institusi kepolisian Indonesia.",1
"Mukamu bentuknya sebulat matahari di siang hari. Dengan demikian, muka yang bulat sempurna.","Mukamu bentuknya sebulat matahari di siang hari. Dengan demikian, muka yang bulat tidak sempurna.",Mukamu bentuknya sebulat matahari di siang hari.,0
"Mukamu bentuknya sebulat bulan yang penuh benjolan. Dengan demikian, muka yang bulat sempurna.","Mukamu bentuknya sebulat bulan yang penuh benjolan. Dengan demikian, muka yang bulat tidak sempurna.",Mukamu bentuknya sebulat bulan yang penuh benjolan.,1
"Layaknya pasangan paruh baya di perayaan peraknya perasaanku bekerja di kantor ini. Dengan demikian, bekerja di kantor tersebut seperti terasa serba lama.","Layaknya pasangan paruh baya di perayaan peraknya perasaanku bekerja di kantor ini. Dengan demikian, bekerja di kantor tersebut seperti terasa serba baru.",Layaknya pasangan paruh baya di perayaan peraknya perasaanku bekerja di kantor ini.,0
"Layaknya pasangan yang tengah berbulan madu perasaanku bekerja di kantor ini. Dengan demikian, bekerja di kantor tersebut seperti terasa serba lama.","Layaknya pasangan yang tengah berbulan madu perasaanku bekerja di kantor ini. Dengan demikian, bekerja di kantor tersebut seperti terasa serba baru.",Layaknya pasangan yang tengah berbulan madu perasaanku bekerja di kantor ini.,1
