[PREMISE],[CHOICE1],[CHOICE2],question,[LABEL],changed,[CONNECTOR]
Pengantin wanita itu beragu sebelum pernikahannya.,Pengantin wanita itu beragu sebelum pernikahannya sehingga para tamu pernikahan membawa hadiah.,Pengantin wanita itu beragu sebelum pernikahannya sehingga ia membatalkan pernikahannya.,effect,1,False,sehingga
Lelaki itu sudah tua.,Lelaki itu sudah tua sehingga rambutnya beruban.,Lelaki itu sudah tua sehingga ia menjual barang-barang miliknya.,effect,0,False,sehingga
Teman-teman itu memutuskan untuk membagi hamburger itu diantara mereka.,Teman-teman itu memutuskan untuk membagi hamburger itu diantara mereka sehingga mereka memotongnya menjadi dua.,Teman-teman itu memutuskan untuk membagi hamburger itu diantara mereka sehingga mereka juga pesan kentang goreng dengan hamburgernya.,effect,0,False,sehingga
Saya membuka tutup dari botol soda itu.,Saya membuka tutup dari botol soda itu sehingga sodanya meruap.,Saya membuka tutup dari botol soda itu sehingga sodanya bocor dari botolnya.,effect,0,False,sehingga
Sepasang siswa dicermatkan oleh gurunya.,Sepasang siswa dicermatkan oleh gurunya karena keduanya mendapatkan nilai yang sangat tinggi.,Sepasang siswa dicermatkan oleh gurunya karena jawabannya dalam tugas keduanya sama persis.,cause,1,False,karena
Siswa itu terburu-buru untuk sampai ke sekolah tepat waktu.,Siswa itu terburu-buru untuk sampai ke sekolah tepat waktu sehingga ia meninggalkan pekerjannya rumahnya di rumah.,Siswa itu terburu-buru untuk sampai ke sekolah tepat waktu sehingga ia bawa bekal makanan ke sekolah.,effect,0,False,sehingga
Wartawan itu menulis biografi tentang kehidupan seorang pekerja kemanusiaan.,Wartawan itu menulis biografi tentang kehidupan seorang pekerja kemanusiaan karena orang itu sulit untuk diwawancara oleh wartawan tersebut.,Wartawan itu menulis biografi tentang kehidupan seorang pekerja kemanusiaan karena wartawan itu tergugah oleh apa yang telah dilakukan oleh orang itu.,cause,1,False,karena
Pria itu menentang otoritas gereja.,Pria itu menentang otoritas gereja sehingga ia menyumbangkan uang ke gereja tersebut.,Pria itu menentang otoritas gereja sehingga ia dikucilkan dari gereja.,effect,1,False,sehingga
Rambut wanita itu menutup mukanya.,Rambut wanita itu menutup mukanya sehingga dia menarik rambutnya ke belakang dengan jepit.,Rambut wanita itu menutup mukanya sehingga dia menggunakan sampo untuk membusakan rambutnya.,effect,0,False,sehingga
Cincin di jariku tersangkut.,Cincin di jariku tersangkut karena jariku bengkak.,Cincin di jariku tersangkut karena kukuku terpecah.,cause,0,False,karena
Saya menarik sebuah karet gelang.,Saya menarik sebuah karet gelang sehingga karet itu melayang ke seberang ruangan.,Saya menarik sebuah karet gelang sehingga karet itu teregang.,effect,1,False,sehingga
Saya menaruh tangan saya di semen basah.,Saya menaruh tangan saya di semen basah sehingga cetakan tanganku mengering di semen itu.,Saya menaruh tangan saya di semen basah sehingga semen itu teretak.,effect,0,False,sehingga
Kulit saya terpecah hingga meruam.,Kulit saya terpecah hingga meruam karena kulit saya terkena tanaman racun ivy dari halaman saya.,Kulit saya terpecah hingga meruam karena saya berantas racun ivy tersebut dari halaman saya.,cause,0,False,karena
Langganan saya ke majalah itu telah kedaluwarsa.,Langganan saya ke majalah itu telah kedaluwarsa sehingga saya telah buang terbitannya yang baru.,Langganan saya ke majalah itu telah kedaluwarsa sehingga saya berhenti menerima terbitannya yang baru.,effect,1,False,sehingga
Detektif itu mengungkapkan sebuah anomali dalam kasus itu.,Detektif itu mengungkapkan sebuah anomali dalam kasus itu sehingga dia menyelesaikan teorinya.,Detektif itu mengungkapkan sebuah anomali dalam kasus itu sehingga ia membatalakan teorinya.,effect,1,False,sehingga
Anak lelaki itu mengamuk.,Anak lelaki itu mengamuk karena saudara lelakinya telah mengambil mainannya.,Anak lelaki itu mengamuk karena dia berbagi mainannya dengan saudara lelakinya.,cause,0,False,karena
Anak itu belajar cara membaca.,Anak itu belajar cara membaca sehingga dia mulai masuk sekolah.,Anak itu belajar cara membaca sehingga dia tinggal kelas.,effect,0,True,sehingga
Anak lelaki itu tidak makan malam.,Anak lelaki itu tidak makan malam karena ibunya telah memasaknya makanan favoritnya.,Anak lelaki itu tidak makan malam karena ia telah makan siang yang cukup banyak.,cause,1,False,karena
Wanita itu melimpahi temannya dengan sanjungan.,Wanita itu melimpahi temannya dengan sanjungan karena ia ingin meminta temannya untuk bantuan.,Wanita itu melimpahi temannya dengan sanjungan karena ia kesal dengan temannya yang terus mengeluh.,cause,0,False,karena
Kunci tersebut hilang dari saku celana saya.,Kunci tersebut hilang dari saku celana saya karena saku celana saya sobek.,Kunci tersebut hilang dari saku celana saya karena celana saya baru.,cause,0,False,karena
Lelaki itu pingsan.,Lelaki itu pingsan karena ia telah bertidur siang.,Lelaki itu pingsan karena ia telah lari dalam maraton.,cause,1,False,karena
Lelaki itu kalah dalam kompetisi yang ia ikuti.,Lelaki itu kalah dalam kompetisi yang ia ikuti karena kompetisi tersebut telah tersabotase.,Lelaki itu kalah dalam kompetisi yang ia ikuti karena ia mengintimidasi para pesaingnya.,cause,0,False,karena
Ibu itu memanggil sebuah ambulans.,Ibu itu memanggil sebuah ambulans karena anaknya telah menghilangkan kucingnya.,Ibu itu memanggil sebuah ambulans karena anaknya jatuh dari tempat tidurnya.,cause,1,False,karena
Pengemudi itu rem mendadak.,Pengemudi itu rem mendadak karena sebuah rusah telah muncul di jalan.,Pengemudi itu rem mendadak karena radio di dalam mobilnya mati.,cause,0,False,karena
Gembok itu terbuka.,Gembok itu terbuka sehingga saya memasukkan kunci ke dalam gembok.,Gembok itu terbuka sehingga saya membuat duplikat kunci.,effect,0,False,sehingga
Saya memakai sarung tangan karet.,Saya memakai sarung tangan karet karena saya sedang siap-siap untuk mencuci tangan saya.,Saya memakai sarung tangan karet karena saya sedang siap-siap untuk membersihkan kamar mandi.,cause,1,False,karena
Banyak spesies hewan telah menjadi terancam punah.,Banyak spesies hewan telah menjadi terancam punah karena habitatnya telah terusak.,Banyak spesies hewan telah menjadi terancam punah karena predator mereka telah punah.,cause,0,False,karena
Pria itu merasa bahwa wanita itu tampak berbeda.,Pria itu merasa bahwa wanita itu tampak berbeda karena wanitu itu telah potong rambutnya.,Pria itu merasa bahwa wanita itu tampak berbeda karena wanita itu memakai sebuah gelang.,cause,0,False,karena
Murid itu lupa untuk melakukan tugasnya.,Murid itu lupa untuk melakukan tugasnya sehingga dia membuat alasan kepada gurunya.,Murid itu lupa untuk melakukan tugasnya sehingga gurunya menaikkannya ke tingkat yang lebih tinggi di sekolah.,effect,0,False,sehingga
Anjing itu menggonggong.,Anjing itu menggonggong karena kucing itu berbaring di sofa.,Anjing itu menggonggong karena terdengar sebuah ketukan di pintu.,cause,1,False,karena
Telah diumumkan rencana untuk mengganti taman lokal dengan sebuah pusat perbelanjaan.,Telah diumumkan rencana untuk mengganti taman lokal dengan sebuah pusat perbelanjaan sehingga para pemerhati lingkungan mulai mengajukan petisi.,Telah diumumkan rencana untuk mengganti taman lokal dengan sebuah pusat perbelanjaan sehingga para pemerhati lingkungan membuat sebuah dokumenter.,effect,0,False,sehingga
Pasangan itu senang ketika bertemu satu sama lain.,Pasangan itu senang ketika bertemu satu sama lain sehingga mereka bercium.,Pasangan itu senang ketika bertemu satu sama lain sehingga mereka beristirahat.,effect,0,False,sehingga
Wanita itu meminta pria itu untuk pergi.,Wanita itu meminta pria itu untuk pergi karena ia telah menghinannya.,Wanita itu meminta pria itu untuk pergi karena ia telah berterimakasih kepadanya.,cause,0,False,karena
Cabang pohon itu jatuh di dalam sungai.,Cabang pohon itu jatuh di dalam sungai sehingga cabang itu mengikuti sungai ke hilir.,Cabang pohon itu jatuh di dalam sungai sehingga arus sungai menjadi lebih kuat.,effect,0,False,sehingga
Guru itu memberi pekerjaan rumah kepada murid-muridnya.,Guru itu memberi pekerjaan rumah kepada murid-muridnya sehingga para siswa berbagi jawaban.,Guru itu memberi pekerjaan rumah kepada murid-muridnya sehingga para siswa mengerang.,effect,1,False,sehingga
Musim telah berubah dari musim panas ke musim gugur.,Musim telah berubah dari musim panas ke musim gugur sehingga orang-orang mengungsi dari rumah mereka.,Musim telah berubah dari musim panas ke musim gugur sehingga daun jatuh dari pohon.,effect,1,False,sehingga
Politisi itu telah dihukum untuk penipuan.,Politisi itu telah dihukum untuk penipuan sehingga dia berkampanye untuk pengulangan eleksi.,Politisi itu telah dihukum untuk penipuan sehingga dia telah dipecat dari kursinya.,effect,1,False,sehingga
Saya mendorong gerobak itu.,Saya mendorong gerobak itu sehingga benda-benda di dalam gerobak itu jatuh.,Saya mendorong gerobak itu sehingga roda gerobak berputar ke depan.,effect,1,False,sehingga
Para pelobi telah membujuk badan legislatif untuk mendukung RUU tersebut.,Para pelobi telah membujuk badan legislatif untuk mendukung RUU tersebut sehingga presiden memveto RUU itu.,Para pelobi telah membujuk badan legislatif untuk mendukung RUU tersebut sehingga badan legislatif meloloskan RUU tersebut.,effect,1,False,sehingga
Lemari saya berantakan.,Lemari saya berantakan sehingga saya telah merapihkannya.,Lemari saya berantakan sehingga saya telah menghiasnya.,effect,0,False,sehingga
Saya terjaga sampai larut.,Saya terjaga sampai larut sehingga saya mendapat mimpi yang jelas malam itu.,Saya terjaga sampai larut sehingga saya merasa lelah di pagi harinya.,effect,1,False,sehingga
Isi saku pria itu berdenting ketika dia berjalan.,Isi saku pria itu berdenting ketika dia berjalan karena sakunya terisi dengan koin.,Isi saku pria itu berdenting ketika dia berjalan karena dia menjahit lubang yang berada di sakunya.,cause,0,False,karena
Semua murid di kelas itu menatap siswa itu.,Semua murid di kelas itu menatap siswa itu karena telepon siswa itu telah berdering.,Semua murid di kelas itu menatap siswa itu karena siswa itu sedang menulis catatan.,cause,0,False,karena
Kuda itu mendadak berheti.,Kuda itu mendadak berheti karena seekor lalat telah menggigit kuda itu.,Kuda itu mendadak berheti karena pengendaranya telah membelai kuda itu.,cause,0,False,karena
Pencuri perhiasan itu telah tertangkap.,Pencuri perhiasan itu telah tertangkap sehingga perhiasan yang tercuri telah dikembalikan kepada pemiliknya.,Pencuri perhiasan itu telah tertangkap sehingga biaya perhiasan yang dicuri itu telah dihitung.,effect,0,False,sehingga
Kekerasan politik telah memecahkan di negara ini.,Kekerasan politik telah memecahkan di negara ini sehingga banyak warga telah pindah ke ibukota.,Kekerasan politik telah memecahkan di negara ini sehingga banyak warga lain telah mengungsi ke  wilayah lain.,effect,1,False,sehingga
Perempuan itu ditangkap.,Perempuan itu ditangkap karena dia masuk rehabilitasi.,Perempuan itu ditangkap karena dia telah menyerang orang lain.,cause,1,False,karena
Wanita itu membaca koran.,Wanita itu membaca koran sehingga dia baca tentang hasil pemilihan.,Wanita itu membaca koran sehingga dia telah memberikan suara dalam pemilihan itu.,effect,0,False,sehingga
Anak yang sedang sakit itu batuk kepada temannya.,Anak yang sedang sakit itu batuk kepada temannya sehingga temannya juga ikut terkena penyakit.,Anak yang sedang sakit itu batuk kepada temannya sehingga temannya bersin.,effect,0,False,sehingga
Pasangan itu bertunangan.,Pasangan itu bertunangan sehingga mereka telah merencanakan pernikahannya.,Pasangan itu bertunangan sehingga mereka berpisah untuk beberapa waktu.,effect,0,False,sehingga
Wanita itu menghubungi agen real estat.,Wanita itu menghubungi agen real estat karena wanita itu berencana membeli sebuah kondominium.,Wanita itu menghubungi agen real estat karena wanita itu perlu membersihkan rumahnya.,cause,0,False,karena
Pria itu memenangkan lotre.,Pria itu memenangkan lotre sehingga ia menjadi kaya.,Pria itu memenangkan lotre sehingga ia mempunyai hutang uang.,effect,0,False,sehingga
Saya nyalakan lilin.,Saya nyalakan lilin sehingga lilin menetes darinya.,Saya nyalakan lilin sehingga tetesan lilin itu mengeras.,effect,0,False,sehingga
Saya menghabiskan waktu hari itu di kolam renang.,Saya menghabiskan waktu hari itu di kolam renang sehingga pergelangan kaki saya terkilir.,Saya menghabiskan waktu hari itu di kolam renang sehingga wajah saya terbakar oleh matahari.,effect,1,False,sehingga
Pria itu menerima sebuah denda parkir.,Pria itu menerima sebuah denda parkir karena ia parkir berjajar di jalan.,Pria itu menerima sebuah denda parkir karena meter parkirnya telah habis.,cause,1,False,karena
Wanita itu menjadi terkenal.,Wanita itu menjadi terkenal sehingga banyak fotografer terus mengikutinya.,Wanita itu menjadi terkenal sehingga keluarganya menghindarinya.,effect,0,False,sehingga
Perempuan itu ingin memakai anting.,Perempuan itu ingin memakai anting sehingga dia menindik telinganya.,Perempuan itu ingin memakai anting sehingga dia mendapatkan sebuah tato.,effect,0,False,sehingga
Telingaku berdenging.,Telingaku berdenging karena saya pergi ke museum.,Telingaku berdenging karena saya pergi ke konser.,cause,1,False,karena
Saya rapihkan rumah saya.,Saya rapihkan rumah saya karena saya sangat sibuk dengan pekerjaan.,Saya rapihkan rumah saya karena saya mengharapkan ada yang menemani saya.,cause,1,False,karena
Maskapai itu salah menangani koper saya.,Maskapai itu salah menangani koper saya sehingga mereka menawarkan saya kompensasi.,Maskapai itu salah menangani koper saya sehingga mereka telah batalkan penerbangan saya.,effect,0,False,sehingga
Komputer ini mahal kalau diperbaiki.,Komputer ini mahal kalau diperbaiki sehingga saya memperbaikinya.,Komputer ini mahal kalau diperbaiki sehingga saya membeli yang baru.,effect,1,False,sehingga
Wanita itu dalam suasana hati yang buruk.,Wanita itu dalam suasana hati yang buruk sehingga dia berobrol ringan dengan temannya.,Wanita itu dalam suasana hati yang buruk sehingga dia menyuruh temannya untuk tidak mengganggunya.,effect,1,False,sehingga
Barang itu dikemas dalam bungkus gelembung.,Barang itu dikemas dalam bungkus gelembung karena barang itu rapuh.,Barang itu dikemas dalam bungkus gelembung karena barang itu kecil.,cause,0,False,karena
Saya kosongkan kantong saya.,Saya kosongkan kantong saya sehingga saya ambil sebuah potongan tiket.,Saya kosongkan kantong saya sehingga saya temukan sebuah senjata.,effect,0,False,sehingga
Rumah saya diserbu oleh rayap.,Rumah saya diserbu oleh rayap sehingga rayap itu tiada lagi di rumah saya.,Rumah saya diserbu oleh rayap sehingga rayap itu memakan kayu rumah saya.,effect,1,False,sehingga
Para wisatawan sudah sampai di perbatasan.,Para wisatawan sudah sampai di perbatasan sehingga paspor mereka diperiksa oleh agen patroli.,Para wisatawan sudah sampai di perbatasan sehingga mereka dituduh atas penyelundupan oleh agen patroli.,effect,0,False,sehingga
Kantor itu tutup.,Kantor itu tutup karena saat itu sedang hari libur.,Kantor itu tutup karena saat itu sedang musim panas.,cause,0,False,karena
Gadis itu kehabisan tenaga.,Gadis itu kehabisan tenaga karena ia telah main catur.,Gadis itu kehabisan tenaga karena ia telah main lompat tali.,cause,1,False,karena
Wanita itu kehilangan tempatnya di barisan.,Wanita itu kehilangan tempatnya di barisan karena banyak orang mengikuti barisan itu.,Wanita itu kehilangan tempatnya di barisan karena ia keluar dari barisan itu.,cause,1,False,karena
Gadis itu mencubit hidungnya.,Gadis itu mencubit hidungnya karena bayi itu meneteskan air liur ke kain alasanya.,Gadis itu mencubit hidungnya karena bayi itu mengotori popoknya.,cause,1,False,karena
Band ini memainkan lagu hit mereka.,Band ini memainkan lagu hit mereka sehingga para penonton bertepuk tangan mengikuti musik.,Band ini memainkan lagu hit mereka sehingga para penonton dengan sopan mendengarkan dalam kediaman.,effect,0,False,sehingga
Gadis itu ingin berterima kasih kepada guru matematiknya.,Gadis itu ingin berterima kasih kepada guru matematiknya sehingga gadis itu ditahan setelah sekolah selesai.,Gadis itu ingin berterima kasih kepada guru matematiknya sehingga gadis itu memberikan apel kepada gurunya.,effect,1,False,sehingga
Para berkemah muda merasa takut.,Para berkemah muda merasa takut karena konselor kamp menceritakan sebuah cerita hantu.,Para berkemah muda merasa takut karena mereka membakar marshmallow di atas api unggun.,cause,0,False,karena
Kepala pria itu terbentur.,Kepala pria itu terbentur sehingga dia tenggelam dalam pikirannya.,Kepala pria itu terbentur sehingga dia menderita gegar otak.,effect,1,False,sehingga
Cek yang saya tulis ditolak.,Cek yang saya tulis ditolak karena rekening bank saya habis.,Cek yang saya tulis ditolak karena saya mendapat kenaikan gaji.,cause,0,False,karena
Kotak masuk email pria itu penuh dengan spam.,Kotak masuk email pria itu penuh dengan spam sehingga ia hapus spam dari emailnya.,Kotak masuk email pria itu penuh dengan spam sehingga dia kirim sebuah email massal.,effect,0,False,sehingga
Pelaut itu dikarantina.,Pelaut itu dikarantina karena ia terkena penyakit.,Pelaut itu dikarantina karena ia sembuh dari penyakitnya.,cause,0,False,karena
Gadis itu menghafalkan kodenya.,Gadis itu menghafalkan kodenya karena dia membacakannya ke dirinya sendiri.,Gadis itu menghafalkan kodenya karena ia lupa mencatatnya.,cause,0,False,karena
Saya tuang air ke gelas itu.,Saya tuang air ke gelas itu sehingga air itu menghilangkan dahaga saya.,Saya tuang air ke gelas itu sehingga gelas itu terisi penuh.,effect,1,False,sehingga
Pria itu tetap diam ketika temannya selesai berbicara.,Pria itu tetap diam ketika temannya selesai berbicara karena ia ingin mendukung temannya.,Pria itu tetap diam ketika temannya selesai berbicara karena ia berpikir tentang apa yang dikatakan temannya.,cause,1,False,karena
Kecelakaan itu salah saya.,Kecelakaan itu salah saya sehingga saya merasa bersalah.,Kecelakaan itu salah saya sehingga saya menuduh orang lain.,effect,0,False,sehingga
Rantai itu terlepas.,Rantai itu terlepas karena rantai itu terlilit di ban.,Rantai itu terlepas karena salah satu mata rantai terputus.,cause,1,False,karena
Pasangan itu memutuskan untuk berkompromi.,Pasangan itu memutuskan untuk berkompromi karena mereka lelah dengan terus bertengkar.,Pasangan itu memutuskan untuk berkompromi karena mereka menghindari diskusi tentang masalah mereka.,cause,0,False,karena
Wanita itu memutuskan untuk mencalonkan diri untuk jabatan publik.,Wanita itu memutuskan untuk mencalonkan diri untuk jabatan publik sehingga dia mempekerjakan seorang manajer kampanye.,Wanita itu memutuskan untuk mencalonkan diri untuk jabatan publik sehingga dia bersaksi di pengadilan.,effect,0,False,sehingga
Pria itu mengantisipasi adanya cuaca dingin di perjalanannya.,Pria itu mengantisipasi adanya cuaca dingin di perjalanannya sehingga dia mengemas pakaian hangat di kopernya.,Pria itu mengantisipasi adanya cuaca dingin di perjalanannya sehingga dia bawa koper besar untuk perjalanannya.,effect,0,False,sehingga
Siswa itu tahu jawaban  pertanyaan itu.,Siswa itu tahu jawaban  pertanyaan itu sehingga ia angkat tangannya.,Siswa itu tahu jawaban  pertanyaan itu sehingga ia salah.,effect,0,False,sehingga
Mata pria itu berkaca-kaca.,Mata pria itu berkaca-kaca karena debu masuk ke matanya.,Mata pria itu berkaca-kaca karena ia pakai kacamata.,cause,0,False,karena
Pemain itu menang lima pertandingan berturut-turut.,Pemain itu menang lima pertandingan berturut-turut sehingga lawannya menuduh dia atas kecurangan.,Pemain itu menang lima pertandingan berturut-turut sehingga lawannya merasa kasihan padanya.,effect,0,False,sehingga
Guru itu merobek-robek kertas ujian siswanya.,Guru itu merobek-robek kertas ujian siswanya karena ia tangkap murid itu menyontek.,Guru itu merobek-robek kertas ujian siswanya karena semua jawaban murid itu salah.,cause,0,False,karena
Saya berhenti bicara.,Saya berhenti bicara karena suara saya hilang.,Saya berhenti bicara karena saya kehilangan napas.,cause,1,False,karena
Makanan yang terbeku itu dicairkan.,Makanan yang terbeku itu dicairkan karena saya cairkan di dalam microwave.,Makanan yang terbeku itu dicairkan karena saya tutup dengan bungkus plastik.,cause,0,False,karena
